"id,nameWithOwner,url,stargazersTotalCount,issuesTotalCount"
"MDEwOlJlcG9zaXRvcnk5NDQ2MDcwNA==,tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,{'totalCount': 9961},{'totalCount': 1161}"
"MDEwOlJlcG9zaXRvcnkyMDY2NjA1ODA=,facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,{'totalCount': 9847},{'totalCount': 1242}"
"MDEwOlJlcG9zaXRvcnk5MjIzODgwMw==,openai/baselines,https://github.com/openai/baselines,{'totalCount': 9779},{'totalCount': 765}"
"MDEwOlJlcG9zaXRvcnk3NDc2MjEwNg==,jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,{'totalCount': 9709},{'totalCount': 351}"
"MDEwOlJlcG9zaXRvcnk3Mjk0NTE0MQ==,chiphuyen/stanford-tensorflow-tutorials,https://github.com/chiphuyen/stanford-tensorflow-tutorials,{'totalCount': 9525},{'totalCount': 106}"
"MDEwOlJlcG9zaXRvcnkxNjkxMDA2OTI=,NVlabs/stylegan,https://github.com/NVlabs/stylegan,{'totalCount': 9414},{'totalCount': 0}"
"MDEwOlJlcG9zaXRvcnkxNDU2NzAyMzQ=,open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,{'totalCount': 9413},{'totalCount': 1989}"
"MDEwOlJlcG9zaXRvcnk1NTE0NzM4Ng==,tflearn/tflearn,https://github.com/tflearn/tflearn,{'totalCount': 9408},{'totalCount': 900}"
"MDEwOlJlcG9zaXRvcnk1MzIyODUxMw==,alexjc/neural-doodle,https://github.com/alexjc/neural-doodle,{'totalCount': 9355},{'totalCount': 102}"
"MDEwOlJlcG9zaXRvcnkxMjA5MzY5NDY=,deeppomf/DeepCreamPy,https://github.com/deeppomf/DeepCreamPy,{'totalCount': 9307},{'totalCount': 161}"
"MDEwOlJlcG9zaXRvcnk5OTg0NjM4Mw==,horovod/horovod,https://github.com/horovod/horovod,{'totalCount': 9153},{'totalCount': 1278}"
